normalize,networkarch,act,n_layers,hidden_nodes,correct_functional,lr,weight_decay,Test error
False,0,sigmoid,4,92,False,0.0007571512845641103,4.176725223600325e-05,0.020393843238707632

False,0,swish,4,89,False,0.0005334732975791679,1.1286632435397503e-08,9.27133751247311e-05

False,0,swish,4,98,False,0.00043711977556130607,2.4759930955871113e-05,0.00034016306744888425

False,0,swish,4,94,False,0.00027754012422188197,7.3301547444151e-05,0.001494141441071406

False,0,swish,4,82,False,0.0007926855506604634,1.0472303343362091e-05,5.970513666397892e-05

True,2,swish,4,87,False,0.0003951400560482489,5.805568971630726e-05,0.0016844147539814003

False,0,swish,4,92,False,0.000919753882849273,8.453011399931061e-07,2.340925311727915e-05

False,0,swish,4,95,False,0.0006029616752211287,1.0111828799436013e-05,7.38568796805339e-05

False,0,swish,4,92,False,0.0009688641369810158,3.568109104416336e-05,0.00019611783500295132

False,0,swish,4,75,False,0.0012805636494356845,2.3810570302502337e-05,9.996313019655645e-05

False,0,swish,4,99,False,0.0010942518993104164,9.712168519494325e-06,4.0576835090178065e-05

False,0,swish,4,100,False,0.0013844579588304117,4.5415762270174524e-05,0.0002639982121763751

False,0,sin,4,98,False,0.0010978246575804064,1.1702118479476371e-05,6.235404907783959e-05

False,0,swish,4,27,True,0.0008691250298118866,2.3454168617552093e-05,0.0002231872858828865

False,1,swish,4,40,False,0.0017490840558461605,3.273570381291157e-05,0.0009333014095318504

